"WT.GSM130365","WT.GSM130366","WT.GSM130367","KO.GSM130368","KO.GSM130369","KO.GSM130370"
76.7,93.9,78.4,48.8,55.8,38
72.5,165.7,50.6,527.2,495.4,620.7
126.2,106.7,86.1,20.8,27.4,10.9
581.8,570.7,589.6,919.1,951.7,919.7
86.2,112.3,93.6,203.4,233.8,220.4
25.6,47.2,37.5,265.3,246.4,199.1
14.2,7.7,10.6,57.6,49.7,55.2
3221.3,3323.8,3091.5,1595.5,2004.3,2064.9
101,160,65.3,397.8,356.8,409.3
2613.3,2745.5,2455.2,5469,4979.7,5183.5
725.5,699.5,810.6,541.1,463,499.8
2191.2,2003.6,2107.4,3071.2,3062.8,2917.5
1728.6,1693.2,1565.3,1235.8,1262.2,1215.5
620.9,679.1,617.4,389.3,450.5,487.2
2426.6,2312,2086.7,1391.8,1451.3,1613.6
762,727.3,754.8,564.1,559,555.9
131.5,150.2,98.7,199.3,241.3,228.1
946.1,992.5,888.7,739.1,755.5,676.3
238.1,237.5,296.9,572.7,459.2,501.9
201.9,193.1,194.6,136.7,138,157.1
1950.7,1927.6,1866.1,4181.5,4420.3,4843.5
879.5,930.8,764,1347.8,1382,1457.1
902.1,873.8,809.3,306.4,467.2,352.5
1253.2,1253,1044.5,666.9,694.2,505.4
1976.1,1902.8,1693.9,2684.1,2424.2,2666
693.8,650.4,559.1,1167.5,989.3,1177.5
283,288.2,279.8,683,723.2,776.1
28,53.5,33.5,236.8,206.6,204.5
391.8,375.4,386.6,304.9,279.1,296.7
119.6,96.4,126,349.1,348.4,340.5
1352.1,1329.6,1369.3,1069.3,1034.9,962.4
1844.8,2020.2,1741.7,1286.3,1176.1,1466.8
3193.3,3334,3144.1,2728.2,2660.9,2785.2
287.8,314.1,116.8,555.6,733.4,633.5
853.9,822.3,1006.8,1521.9,1380.8,1543.1
217.6,196.5,197.2,681.7,656.8,599.6
573.3,496.9,499.5,734.7,703.5,728.3
763.5,698.7,797.7,273.1,343.1,375.6
115.1,102.8,105.8,250.7,265,311.3
225.7,208,184.5,94.4,112.6,123.4
529,614.8,553.4,800.5,725.7,791.5
9.5,10.9,13,18.1,18.9,22.6
362,418.4,357.6,14.1,24.3,59.7
1262.9,1378.8,1138.7,1841.7,1907.3,1947.4
572.9,699.7,612.1,399.1,350.9,438.8
318.9,361.5,331.2,468.8,486.9,456
459.2,601.8,427.8,1206.8,1256.2,1087.7
1078.9,1098.5,1264.7,2715.4,2709.2,2751.8
556.9,599.7,680.9,1022.9,970.4,916.3
1744.3,1963,1964.7,2635.7,2489.7,2412
1915.1,2160.5,2173.9,1248.4,1221.8,1069.9
1384.8,1441.8,1606.1,2057.9,1885.8,1852.8
429.2,397.1,369.3,265,242.4,267.2
148.6,120.4,109,16.8,52.4,23.8
279.9,310.9,287.2,353.8,361.6,381.1
173.5,185.6,157.7,94.4,73.1,88.7
401.2,351,432.2,107.1,143.3,182
1511.6,1351,1382.9,340.3,350.5,397.9
130.6,124.6,107.4,39.5,33.1,18.4
593.1,568.4,488.7,840,793.9,829.5
580,616.6,590.4,978,979.8,1062.9
116.1,95.2,121.1,55.8,27.4,35.6
1072.4,1140,1019.3,644.2,708.2,759.3
103.2,112.9,75.3,162.1,158.6,195
368,302.1,298.7,170.7,193.7,133.6
156,151,107.4,361.1,299.4,271.4
939.6,899.6,790.6,532.1,642.2,598.2
401.3,293.4,230,673.4,580.5,752.6
2693.4,2605,2799.2,3827.6,3931.1,3813.9
296.1,351.9,190.8,1004.9,1323.5,1030.5
1352.5,1312.2,1292.9,951.3,1038.8,989.6
5257.2,5190.3,5437.4,3316.7,3232,3215.7
2275.8,2433.6,2146.1,1001.3,977.8,907.3
1714.9,1787.9,1627.3,1312.4,1433.9,1302
3067.3,3294.5,2922.5,2351.5,2165.9,2432.8
283.7,234.6,273.5,111,161.7,88.3
164.8,213,171.3,35.9,27.6,35.7
195.9,235.9,205.1,403,493.1,412.8
394.6,397,474.5,719.5,635.8,602.9
667.5,797.2,596.4,1058.5,995.4,1209.4
1622.1,1642,1563.7,2077,2055,2013.2
796.3,808.3,762.3,548.2,462.7,507.5
2951,3089.9,3172.1,4395.2,4380.9,3953.2
620.5,586.3,533,837,807.2,737.4
91.1,90.2,65.7,170.7,205.8,188.5
92.1,75.6,134.7,765.3,741.6,879.7
1130.1,1108,1037.3,1281.3,1322.9,1399.1
830.4,801.4,800.1,1107.6,1073.3,1005.9
558,613.1,475.8,756.6,862.5,777.9
583.4,591.4,634,504.3,449.5,462.1
850.8,891.2,931,763.6,754.9,703.1
